sentence_id,domain,text,aspect_term,input_text,label,polarity
2759,laptops,This laptop meets every expectation and Windows 7 is great!,Windows 7,[ASPECT] Windows 7 [SEP] This laptop meets every expectation and Windows 7 is great!,0,positive
2980,laptops,I can barely use any usb devices because they will not stay connected properly.,usb devices,[ASPECT] usb devices [SEP] I can barely use any usb devices because they will not stay connected properly.,1,negative
743,laptops,When I finally had everything running with all my software installed I plugged in my droid to recharge and the system crashed.,software,[ASPECT] software [SEP] When I finally had everything running with all my software installed I plugged in my droid to recharge and the system crashed.,2,neutral
743,laptops,When I finally had everything running with all my software installed I plugged in my droid to recharge and the system crashed.,system,[ASPECT] system [SEP] When I finally had everything running with all my software installed I plugged in my droid to recharge and the system crashed.,1,negative
2587,laptops,"One suggestion I do have, is to not bother getting Microsoft office for the mac expecting it will work just like you knew it to on a PC.",Microsoft office for the mac,"[ASPECT] Microsoft office for the mac [SEP] One suggestion I do have, is to not bother getting Microsoft office for the mac expecting it will work just like you knew it to on a PC.",1,negative
2202,laptops,Pairing it with an iPhone is a pure pleasure - talk about painless syncing - used to take me forever - now it's a snap.,syncing,[ASPECT] syncing [SEP] Pairing it with an iPhone is a pure pleasure - talk about painless syncing - used to take me forever - now it's a snap.,0,positive
2227,laptops,"I also got the added bonus of a 30"" HD Monitor, which really helps to extend my screen and keep my eyes fresh!","30"" HD Monitor","[ASPECT] 30"" HD Monitor [SEP] I also got the added bonus of a 30"" HD Monitor, which really helps to extend my screen and keep my eyes fresh!",0,positive
2227,laptops,"I also got the added bonus of a 30"" HD Monitor, which really helps to extend my screen and keep my eyes fresh!",screen,"[ASPECT] screen [SEP] I also got the added bonus of a 30"" HD Monitor, which really helps to extend my screen and keep my eyes fresh!",2,neutral
92,laptops,The machine is slow to boot up and occasionally crashes completely.,boot up,[ASPECT] boot up [SEP] The machine is slow to boot up and occasionally crashes completely.,1,negative
1204,laptops,"After paying several hundred dollars for this service, it is frustrating that you cannot get help after hours.",service,"[ASPECT] service [SEP] After paying several hundred dollars for this service, it is frustrating that you cannot get help after hours.",1,negative
1574,laptops,I love the operating system and the preloaded software.,operating system,[ASPECT] operating system [SEP] I love the operating system and the preloaded software.,0,positive
1574,laptops,I love the operating system and the preloaded software.,preloaded software,[ASPECT] preloaded software [SEP] I love the operating system and the preloaded software.,0,positive
3073,laptops,The best thing about this laptop is the price along with some of the newer features.,price,[ASPECT] price [SEP] The best thing about this laptop is the price along with some of the newer features.,0,positive
3073,laptops,The best thing about this laptop is the price along with some of the newer features.,features,[ASPECT] features [SEP] The best thing about this laptop is the price along with some of the newer features.,0,positive
1254,laptops,"After numerous attempts of trying (including setting the clock in BIOS setup directly), I gave up(I am a techie).",clock in BIOS setup,"[ASPECT] clock in BIOS setup [SEP] After numerous attempts of trying (including setting the clock in BIOS setup directly), I gave up(I am a techie).",1,negative
810,laptops,YOU WILL NOT BE ABLE TO TALK TO AN AMERICAN WARRANTY SERVICE IS OUT OF COUNTRY.,WARRANTY SERVICE,[ASPECT] WARRANTY SERVICE [SEP] YOU WILL NOT BE ABLE TO TALK TO AN AMERICAN WARRANTY SERVICE IS OUT OF COUNTRY.,1,negative
130,laptops,but now i have realized its a problem with this brand.,brand,[ASPECT] brand [SEP] but now i have realized its a problem with this brand.,1,negative
839,laptops,I sent it back to Toshiba twice they covered it under the warranty.,warranty,[ASPECT] warranty [SEP] I sent it back to Toshiba twice they covered it under the warranty.,0,positive
696,laptops,I was looking for a mac which is portable and has all the features that I was looking for.,features,[ASPECT] features [SEP] I was looking for a mac which is portable and has all the features that I was looking for.,0,positive
1030,laptops,Also kinda loud when the fan was running.,fan,[ASPECT] fan [SEP] Also kinda loud when the fan was running.,1,negative
1425,laptops,"In desparation, I called their Customer Service number and was told that my warranty had expired (2 days old) and that the priviledge of talking to a technician would cost me (""have your credit card ready"").",Customer Service number,"[ASPECT] Customer Service number [SEP] In desparation, I called their Customer Service number and was told that my warranty had expired (2 days old) and that the priviledge of talking to a technician would cost me (""have your credit card ready"").",2,neutral
1425,laptops,"In desparation, I called their Customer Service number and was told that my warranty had expired (2 days old) and that the priviledge of talking to a technician would cost me (""have your credit card ready"").",warranty,"[ASPECT] warranty [SEP] In desparation, I called their Customer Service number and was told that my warranty had expired (2 days old) and that the priviledge of talking to a technician would cost me (""have your credit card ready"").",1,negative
1425,laptops,"In desparation, I called their Customer Service number and was told that my warranty had expired (2 days old) and that the priviledge of talking to a technician would cost me (""have your credit card ready"").",talking to a technician,"[ASPECT] talking to a technician [SEP] In desparation, I called their Customer Service number and was told that my warranty had expired (2 days old) and that the priviledge of talking to a technician would cost me (""have your credit card ready"").",1,negative
661,laptops,There also seemed to be a problem with the hard disc as certain times windows loads but claims to not be able to find any drivers or files.,hard disc,[ASPECT] hard disc [SEP] There also seemed to be a problem with the hard disc as certain times windows loads but claims to not be able to find any drivers or files.,1,negative
661,laptops,There also seemed to be a problem with the hard disc as certain times windows loads but claims to not be able to find any drivers or files.,windows,[ASPECT] windows [SEP] There also seemed to be a problem with the hard disc as certain times windows loads but claims to not be able to find any drivers or files.,1,negative
661,laptops,There also seemed to be a problem with the hard disc as certain times windows loads but claims to not be able to find any drivers or files.,drivers,[ASPECT] drivers [SEP] There also seemed to be a problem with the hard disc as certain times windows loads but claims to not be able to find any drivers or files.,2,neutral
997,laptops,Drivers updated ok but the BIOS update froze the system up and the computer shut down.,Drivers,[ASPECT] Drivers [SEP] Drivers updated ok but the BIOS update froze the system up and the computer shut down.,0,positive
997,laptops,Drivers updated ok but the BIOS update froze the system up and the computer shut down.,BIOS update,[ASPECT] BIOS update [SEP] Drivers updated ok but the BIOS update froze the system up and the computer shut down.,1,negative
997,laptops,Drivers updated ok but the BIOS update froze the system up and the computer shut down.,system,[ASPECT] system [SEP] Drivers updated ok but the BIOS update froze the system up and the computer shut down.,1,negative
463,laptops,Spent 2 hours on phone with HP Technical Support.,HP Technical Support,[ASPECT] HP Technical Support [SEP] Spent 2 hours on phone with HP Technical Support.,2,neutral
1193,laptops,"Speaking of the browser, it too has problems.",browser,"[ASPECT] browser [SEP] Speaking of the browser, it too has problems.",1,negative
147,laptops,The keyboard is too slick.,keyboard,[ASPECT] keyboard [SEP] The keyboard is too slick.,1,negative
1433,laptops,Nightly my computer defrags itself and runs a virus scan.,virus scan,[ASPECT] virus scan [SEP] Nightly my computer defrags itself and runs a virus scan.,2,neutral
1669,laptops,"It's like 9 punds, but if you can look past it, it's GREAT!",9 punds,"[ASPECT] 9 punds [SEP] It's like 9 punds, but if you can look past it, it's GREAT!",1,negative
2462,laptops,It's just as fast with one program open as it is with sixteen open.,program,[ASPECT] program [SEP] It's just as fast with one program open as it is with sixteen open.,2,neutral
2719,laptops,"Still under warrenty so called Toshiba, no help at all.",warrenty,"[ASPECT] warrenty [SEP] Still under warrenty so called Toshiba, no help at all.",1,negative
1224,laptops,I was happy with My purchase of a Toshiba Satellite L305D-S5934 laptop until it came time to have it repaired under the Toshiba Warranty.,Toshiba Warranty,[ASPECT] Toshiba Warranty [SEP] I was happy with My purchase of a Toshiba Satellite L305D-S5934 laptop until it came time to have it repaired under the Toshiba Warranty.,1,negative
2492,laptops,Amazing Quality!,Quality,[ASPECT] Quality [SEP] Amazing Quality!,0,positive
1541,laptops,The fact that you can spend over $100 on just a webcam underscores the value of this machine.,webcam,[ASPECT] webcam [SEP] The fact that you can spend over $100 on just a webcam underscores the value of this machine.,2,neutral
1541,laptops,The fact that you can spend over $100 on just a webcam underscores the value of this machine.,value,[ASPECT] value [SEP] The fact that you can spend over $100 on just a webcam underscores the value of this machine.,0,positive
3060,laptops,"I mainly use it for email, internet, and managing personal files (pics, vids, etc.).",internet,"[ASPECT] internet [SEP] I mainly use it for email, internet, and managing personal files (pics, vids, etc.).",2,neutral
3060,laptops,"I mainly use it for email, internet, and managing personal files (pics, vids, etc.).",managing personal files,"[ASPECT] managing personal files [SEP] I mainly use it for email, internet, and managing personal files (pics, vids, etc.).",2,neutral
915,laptops,"A month or so ago, the freaking motherboard just died.",motherboard,"[ASPECT] motherboard [SEP] A month or so ago, the freaking motherboard just died.",1,negative
2050,laptops,"The system it comes with does not work properly, so when trying to fix the problems with it it started not working at all.",system,"[ASPECT] system [SEP] The system it comes with does not work properly, so when trying to fix the problems with it it started not working at all.",1,negative
460,laptops,Then after 4 or so months the charger stopped working so I was forced to go out and buy new hardware just to keep this computer running.,charger,[ASPECT] charger [SEP] Then after 4 or so months the charger stopped working so I was forced to go out and buy new hardware just to keep this computer running.,1,negative
460,laptops,Then after 4 or so months the charger stopped working so I was forced to go out and buy new hardware just to keep this computer running.,hardware,[ASPECT] hardware [SEP] Then after 4 or so months the charger stopped working so I was forced to go out and buy new hardware just to keep this computer running.,1,negative
1524,laptops,"If a website ever freezes (which is rare), its really easy to force quit.",force quit,"[ASPECT] force quit [SEP] If a website ever freezes (which is rare), its really easy to force quit.",0,positive
803,laptops,It rarely works and when it does it's incredibly slow.,works,[ASPECT] works [SEP] It rarely works and when it does it's incredibly slow.,1,negative
2225,laptops,I also enjoy the fact that my MacBook Pro laptop allows me to run Windows 7 on it by using the VMWare program.,Windows 7,[ASPECT] Windows 7 [SEP] I also enjoy the fact that my MacBook Pro laptop allows me to run Windows 7 on it by using the VMWare program.,0,positive
2225,laptops,I also enjoy the fact that my MacBook Pro laptop allows me to run Windows 7 on it by using the VMWare program.,VMWare program,[ASPECT] VMWare program [SEP] I also enjoy the fact that my MacBook Pro laptop allows me to run Windows 7 on it by using the VMWare program.,2,neutral
2644,laptops,"It's so much easier to navigate through the operating system, to find files, and it runs a lot faster!",operating system,"[ASPECT] operating system [SEP] It's so much easier to navigate through the operating system, to find files, and it runs a lot faster!",0,positive
2644,laptops,"It's so much easier to navigate through the operating system, to find files, and it runs a lot faster!",runs,"[ASPECT] runs [SEP] It's so much easier to navigate through the operating system, to find files, and it runs a lot faster!",0,positive
2644,laptops,"It's so much easier to navigate through the operating system, to find files, and it runs a lot faster!",navigate,"[ASPECT] navigate [SEP] It's so much easier to navigate through the operating system, to find files, and it runs a lot faster!",0,positive
2644,laptops,"It's so much easier to navigate through the operating system, to find files, and it runs a lot faster!",find files,"[ASPECT] find files [SEP] It's so much easier to navigate through the operating system, to find files, and it runs a lot faster!",0,positive
1365,laptops,Purchased a Toshiba Lap top it worked good until just after the warrenty went out.,warrenty,[ASPECT] warrenty [SEP] Purchased a Toshiba Lap top it worked good until just after the warrenty went out.,1,negative
2033,laptops,"I wanted to purchase the extended warranty and they refused, because they knew it was trouble.",extended warranty,"[ASPECT] extended warranty [SEP] I wanted to purchase the extended warranty and they refused, because they knew it was trouble.",2,neutral
2271,laptops,We upgraded the memory to four gigabytes in order to take advantage of the performace increase in speed.,memory,[ASPECT] memory [SEP] We upgraded the memory to four gigabytes in order to take advantage of the performace increase in speed.,2,neutral
2271,laptops,We upgraded the memory to four gigabytes in order to take advantage of the performace increase in speed.,speed,[ASPECT] speed [SEP] We upgraded the memory to four gigabytes in order to take advantage of the performace increase in speed.,0,positive
2271,laptops,We upgraded the memory to four gigabytes in order to take advantage of the performace increase in speed.,performace,[ASPECT] performace [SEP] We upgraded the memory to four gigabytes in order to take advantage of the performace increase in speed.,0,positive
103,laptops,"The reality was, it heated up very quickly, and took way too long to do simple things, like opening my Documents folder.",opening my Documents folder,"[ASPECT] opening my Documents folder [SEP] The reality was, it heated up very quickly, and took way too long to do simple things, like opening my Documents folder.",1,negative
1149,laptops,I had always used PCs and been constantly frustrated by the crashing and the poorly designed operating systems that were never very intuitive.,operating systems,[ASPECT] operating systems [SEP] I had always used PCs and been constantly frustrated by the crashing and the poorly designed operating systems that were never very intuitive.,1,negative
900,laptops,"Then, within 5 months, the charger crapped out on me.",charger,"[ASPECT] charger [SEP] Then, within 5 months, the charger crapped out on me.",1,negative
1649,laptops,And if you have a iphone or ipod touch you can connect and download songs to it at high speed.,speed,[ASPECT] speed [SEP] And if you have a iphone or ipod touch you can connect and download songs to it at high speed.,0,positive
446,laptops,I love the glass touchpad.,glass touchpad,[ASPECT] glass touchpad [SEP] I love the glass touchpad.,0,positive
1912,laptops,I continued to take the computer in AGAIN and they replaced the hard drive and mother board yet again.,hard drive,[ASPECT] hard drive [SEP] I continued to take the computer in AGAIN and they replaced the hard drive and mother board yet again.,1,negative
1912,laptops,I continued to take the computer in AGAIN and they replaced the hard drive and mother board yet again.,mother board,[ASPECT] mother board [SEP] I continued to take the computer in AGAIN and they replaced the hard drive and mother board yet again.,1,negative
2752,laptops,I am using the external speaker- sound is good.,external speaker,[ASPECT] external speaker [SEP] I am using the external speaker- sound is good.,0,positive
2752,laptops,I am using the external speaker- sound is good.,sound,[ASPECT] sound [SEP] I am using the external speaker- sound is good.,0,positive
2381,laptops,"still testing the battery life as i thought it would be better, but am very happy with the upgrade.",battery life,"[ASPECT] battery life [SEP] still testing the battery life as i thought it would be better, but am very happy with the upgrade.",1,negative
404,laptops,"Then HP sends it back to me with the hardware screwed up, not able to connect.",hardware,"[ASPECT] hardware [SEP] Then HP sends it back to me with the hardware screwed up, not able to connect.",1,negative
407,laptops,"Oh yeah, don't forget the expensive shipping to and from HP.",shipping,"[ASPECT] shipping [SEP] Oh yeah, don't forget the expensive shipping to and from HP.",1,negative
1731,laptops,"Everything is so easy to use, Mac software is just so much simpler than Microsoft software.",Mac software,"[ASPECT] Mac software [SEP] Everything is so easy to use, Mac software is just so much simpler than Microsoft software.",0,positive
1731,laptops,"Everything is so easy to use, Mac software is just so much simpler than Microsoft software.",Microsoft software,"[ASPECT] Microsoft software [SEP] Everything is so easy to use, Mac software is just so much simpler than Microsoft software.",1,negative
1731,laptops,"Everything is so easy to use, Mac software is just so much simpler than Microsoft software.",use,"[ASPECT] use [SEP] Everything is so easy to use, Mac software is just so much simpler than Microsoft software.",0,positive
1186,laptops,"And if you do a lot of writing, editing is a problem since there is no forward delete key.",delete  key,"[ASPECT] delete  key [SEP] And if you do a lot of writing, editing is a problem since there is no forward delete key.",1,negative
1186,laptops,"And if you do a lot of writing, editing is a problem since there is no forward delete key.",editing,"[ASPECT] editing [SEP] And if you do a lot of writing, editing is a problem since there is no forward delete key.",1,negative
2470,laptops,Its ease of use and the top service from Apple- be it their phone assistance or bellying up to the genius bar- cannot be beat.,use,[ASPECT] use [SEP] Its ease of use and the top service from Apple- be it their phone assistance or bellying up to the genius bar- cannot be beat.,0,positive
2470,laptops,Its ease of use and the top service from Apple- be it their phone assistance or bellying up to the genius bar- cannot be beat.,service,[ASPECT] service [SEP] Its ease of use and the top service from Apple- be it their phone assistance or bellying up to the genius bar- cannot be beat.,0,positive
2470,laptops,Its ease of use and the top service from Apple- be it their phone assistance or bellying up to the genius bar- cannot be beat.,phone assistance,[ASPECT] phone assistance [SEP] Its ease of use and the top service from Apple- be it their phone assistance or bellying up to the genius bar- cannot be beat.,0,positive
2470,laptops,Its ease of use and the top service from Apple- be it their phone assistance or bellying up to the genius bar- cannot be beat.,genius bar,[ASPECT] genius bar [SEP] Its ease of use and the top service from Apple- be it their phone assistance or bellying up to the genius bar- cannot be beat.,0,positive
331,laptops,"It has a 10 hour battery life when you're doing web browsing and word editing, making it perfect for the classroom or office, and in terms of gaming and movie playing it'll have a battery life of just over 5 hours.",battery life,"[ASPECT] battery life [SEP] It has a 10 hour battery life when you're doing web browsing and word editing, making it perfect for the classroom or office, and in terms of gaming and movie playing it'll have a battery life of just over 5 hours.",0,positive
331,laptops,"It has a 10 hour battery life when you're doing web browsing and word editing, making it perfect for the classroom or office, and in terms of gaming and movie playing it'll have a battery life of just over 5 hours.",battery life,"[ASPECT] battery life [SEP] It has a 10 hour battery life when you're doing web browsing and word editing, making it perfect for the classroom or office, and in terms of gaming and movie playing it'll have a battery life of just over 5 hours.",0,positive
331,laptops,"It has a 10 hour battery life when you're doing web browsing and word editing, making it perfect for the classroom or office, and in terms of gaming and movie playing it'll have a battery life of just over 5 hours.",gaming,"[ASPECT] gaming [SEP] It has a 10 hour battery life when you're doing web browsing and word editing, making it perfect for the classroom or office, and in terms of gaming and movie playing it'll have a battery life of just over 5 hours.",2,neutral
331,laptops,"It has a 10 hour battery life when you're doing web browsing and word editing, making it perfect for the classroom or office, and in terms of gaming and movie playing it'll have a battery life of just over 5 hours.",movie playing,"[ASPECT] movie playing [SEP] It has a 10 hour battery life when you're doing web browsing and word editing, making it perfect for the classroom or office, and in terms of gaming and movie playing it'll have a battery life of just over 5 hours.",2,neutral
331,laptops,"It has a 10 hour battery life when you're doing web browsing and word editing, making it perfect for the classroom or office, and in terms of gaming and movie playing it'll have a battery life of just over 5 hours.",web browsing,"[ASPECT] web browsing [SEP] It has a 10 hour battery life when you're doing web browsing and word editing, making it perfect for the classroom or office, and in terms of gaming and movie playing it'll have a battery life of just over 5 hours.",2,neutral
331,laptops,"It has a 10 hour battery life when you're doing web browsing and word editing, making it perfect for the classroom or office, and in terms of gaming and movie playing it'll have a battery life of just over 5 hours.",word editing,"[ASPECT] word editing [SEP] It has a 10 hour battery life when you're doing web browsing and word editing, making it perfect for the classroom or office, and in terms of gaming and movie playing it'll have a battery life of just over 5 hours.",2,neutral
1057,laptops,"Acer has set me up with FREE recovery discs, when they are available since I asked.",recovery discs,"[ASPECT] recovery discs [SEP] Acer has set me up with FREE recovery discs, when they are available since I asked.",0,positive
1095,laptops,"I also purchased Office Max's ""Max Assurance"" with the ""no lemon"" clause.","Office Max's ""Max Assurance""","[ASPECT] Office Max's ""Max Assurance"" [SEP] I also purchased Office Max's ""Max Assurance"" with the ""no lemon"" clause.",2,neutral
1718,laptops,I eventually did the migration from my iMac backup disc which uses USB.,iMac backup disc,[ASPECT] iMac backup disc [SEP] I eventually did the migration from my iMac backup disc which uses USB.,2,neutral
1718,laptops,I eventually did the migration from my iMac backup disc which uses USB.,USB,[ASPECT] USB [SEP] I eventually did the migration from my iMac backup disc which uses USB.,2,neutral
2923,laptops,"The battery life seems to be very good, and have had no issues with it.",battery life,"[ASPECT] battery life [SEP] The battery life seems to be very good, and have had no issues with it.",0,positive
3027,laptops,Enabling the battery timer is useless.,battery timer,[ASPECT] battery timer [SEP] Enabling the battery timer is useless.,1,negative
654,laptops,Temperatures on the outside were alright but i did not track in Core Processing Unit temperatures.,Temperatures,[ASPECT] Temperatures [SEP] Temperatures on the outside were alright but i did not track in Core Processing Unit temperatures.,2,neutral
654,laptops,Temperatures on the outside were alright but i did not track in Core Processing Unit temperatures.,Core Processing Unit temperatures,[ASPECT] Core Processing Unit temperatures [SEP] Temperatures on the outside were alright but i did not track in Core Processing Unit temperatures.,2,neutral
1110,laptops,Going to bring it to service today.,service,[ASPECT] service [SEP] Going to bring it to service today.,2,neutral
1488,laptops,"There is no need to purchase virus protection for Mac, which saves me a lot of time and money.",virus protection for Mac,"[ASPECT] virus protection for Mac [SEP] There is no need to purchase virus protection for Mac, which saves me a lot of time and money.",0,positive
488,laptops,"But we had paid for bluetooth, and there was none.",bluetooth,"[ASPECT] bluetooth [SEP] But we had paid for bluetooth, and there was none.",1,negative
1289,laptops,"So, I paid a visit to LG notebook service center at Alexandra Road, hoping they can make the hinge tighter.",LG notebook service center,"[ASPECT] LG notebook service center [SEP] So, I paid a visit to LG notebook service center at Alexandra Road, hoping they can make the hinge tighter.",2,neutral
1289,laptops,"So, I paid a visit to LG notebook service center at Alexandra Road, hoping they can make the hinge tighter.",hinge,"[ASPECT] hinge [SEP] So, I paid a visit to LG notebook service center at Alexandra Road, hoping they can make the hinge tighter.",1,negative
2985,laptops,"My daughter uses it for games, email, facebook, pictures and music.",games,"[ASPECT] games [SEP] My daughter uses it for games, email, facebook, pictures and music.",2,neutral
1573,laptops,"It is always reliable, never bugged and responds well.",responds,"[ASPECT] responds [SEP] It is always reliable, never bugged and responds well.",0,positive
1928,laptops,After about a week I finally got it back and was told that the motherboard had failed and so they installed a new motherboard.,motherboard,[ASPECT] motherboard [SEP] After about a week I finally got it back and was told that the motherboard had failed and so they installed a new motherboard.,1,negative
1928,laptops,After about a week I finally got it back and was told that the motherboard had failed and so they installed a new motherboard.,motherboard,[ASPECT] motherboard [SEP] After about a week I finally got it back and was told that the motherboard had failed and so they installed a new motherboard.,2,neutral
1099,laptops,"It was slow, locked up, and also had hardware replaced after only 2 months!",hardware,"[ASPECT] hardware [SEP] It was slow, locked up, and also had hardware replaced after only 2 months!",1,negative
1347,laptops,they had to replace the motherboard in April,motherboard,[ASPECT] motherboard [SEP] they had to replace the motherboard in April,1,negative
1408,laptops,"Yes, the computer was light weight, less expensive than the average laptop, and was pretty self explantory in use.",use,"[ASPECT] use [SEP] Yes, the computer was light weight, less expensive than the average laptop, and was pretty self explantory in use.",0,positive
